,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels
627,Tlalpan,Granjas Coapa,1.3941458683697558,4.602689024080001,40.26138523512779,16.530820592212198,27.882697736545353,3.7141190714112198,3.909596218551706,0.07706095023365855,6.2242938469975595,36.76328842288293,1,1,0,0,1,0,65.0,2.0,2,2,3316.0,1
628,Alvaro Obregon,Tetelpan,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,0,0,0,1,1,213.0,2.0,3,2,7790.0,1
629,Gustavo A. Madero,Gustavo A. Madero,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,1,70.0,1.0,2,1,876.831,2
630,Alvaro Obregon,Las aguilas,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,0,0,0,1,1,131.0,4.0,3,2,6980.0,1
631,Alvaro Obregon,Independencia San Ramón,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,0,0,0,1,1,120.0,3.0,3,2,4990.0,1
632,Miguel Hidalgo,Lomas de Chapultepec,0.611027408779167,5.569241583823338,35.542918195636666,10.499484300919168,18.45722733647667,1.0584627289141664,0.06849059075083332,0.026193903617499997,4.497140149960834,20.12386775763833,1,0,0,0,0,1,250.0,4.0,3,3,13000.0,3
633,Milpa alta,San Pedro Actocpan,2.7994205439952373,3.8138994979976197,51.22951436664049,23.456157173235717,30.323110292202387,8.532997867309527,6.465903091366667,0.22702943210476184,13.059364018926193,63.969239382804766,0,0,0,0,0,0,95.0,1.0,3,1,1915.0,2
634,Gustavo A. Madero,La Laguna Ticomán,1.3998376783657802,4.9853922078770765,40.21470854549038,18.205064767591015,25.421478191519945,2.9238671388777426,0.295210496049834,0.04885657138936877,9.532578887003654,43.859107736134256,1,0,0,0,0,1,60.0,1.0,2,0,285.0,2
635,Tlahuac,Zapotitla,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,1,0,0,0,0,0,60.0,1.0,2,1,1018.0,2
636,Coyoacan,Xotepingo,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,1,0,1,1,1,75.0,2.0,2,1,3980.0,1
637,Tlahuac,Viola Centroamérica ,1.5369133370590906,4.495493390170908,46.562120556944535,20.048451080960913,26.77807249112364,5.03562367356091,0.9576746816763637,0.09628856495090908,9.610346519340002,52.74994473300999,0,0,0,0,0,0,52.0,1.0,2,1,730.0,2
638,Venustiano Carranza,Morelos,1.0243727415289656,6.374009689507589,43.62497336852347,16.351225040853794,28.24529055291861,2.2800922644951735,0.055234173223448285,0.0358046200475862,8.154876924755861,39.083659426476544,1,0,0,0,0,0,65.0,1.0,2,1,804.0,2
639,Miguel Hidalgo,Polanco,0.611027408779167,5.569241583823338,35.542918195636666,10.499484300919168,18.45722733647667,1.0584627289141664,0.06849059075083332,0.026193903617499997,4.497140149960834,20.12386775763833,1,0,0,0,1,1,211.0,2.0,2,2,17500.0,3
640,Iztapalapa,Lomas Estrella,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,60.0,1.0,2,1,1450.0,2
641,Venustiano Carranza,Morelos,1.0243727415289656,6.374009689507589,43.62497336852347,16.351225040853794,28.24529055291861,2.2800922644951735,0.055234173223448285,0.0358046200475862,8.154876924755861,39.083659426476544,1,0,0,0,0,0,50.0,1.0,2,1,580.0,2
642,Iztapalapa,Martha Acatitla,1.8576851178949343,5.622804972670488,47.82131159000157,21.69379967117909,32.20292505372248,4.541025503087884,0.7051623132865643,0.1674379848229075,9.555907491718278,50.081349278744696,1,0,0,0,0,0,46.0,1.0,2,1,790.0,2
643,Coyoacan,Insurgentes San Angel,0.7718337419282053,4.983508536587821,32.9147709875859,10.974064850642304,24.551108799625005,1.6953430394935889,0.04838447104679487,0.030823144032692314,5.46980658328782,25.714023047063467,1,0,0,0,0,1,105.0,2.0,2,2,3350.0,1
644,Cuahtemoc,Condesa,0.9031029391228756,6.775808668997386,42.08900539295555,12.233556742089542,26.82689384128955,1.703202068856863,0.10980281996993461,0.04752246796732026,6.214708063603269,30.680722386049663,1,1,0,1,1,1,90.0,2.0,2,2,5600.0,1
645,Alvaro Obregon,Las águilas,1.339167465965152,5.683629830902019,42.85247393318536,17.831208043731817,23.737688165876765,3.189615113417172,0.28293665641111115,0.02617413299141413,6.976225541477781,36.60403865686565,1,1,0,0,1,1,158.0,2.0,3,3,9100.0,3
